       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
       342        1.0537        1.4063       30.00             41.83      56.4         3.24279         0.000838
       343        1.0578        1.4118       30.00             41.83      56.4         3.23582         0.000836
       344        1.0620        1.4174       30.00             41.83      56.4         3.22884         0.000834
       345        1.0662        1.4230       30.00             41.83      56.4         3.22187         0.000832
       346        1.0704        1.4286       30.00             41.83      56.4         3.21490         0.000831
       347        1.0746        1.4342       30.00             41.83      56.4         3.20793         0.000829
       348        1.0788        1.4397       30.00             41.83      56.4         3.20096         0.000827
       349        1.0830        1.4453       30.00             41.83      56.4         3.19398         0.000825
       350        1.0871        1.4509       30.00             41.83      56.4         3.18701         0.000823
       351        1.0913        1.4565       30.00             41.83      56.4         3.18004         0.000822
       352        1.0955        1.4620       30.00             41.83      56.4         3.17307         0.000820
       353        1.0997        1.4676       30.00             41.83      56.4         3.16610         0.000818
       354        1.1039        1.4732       30.00             41.83      56.4         3.15912         0.000816
       355        1.1081        1.4788       30.00             41.83      56.4         3.15215         0.000814
       356        1.1122        1.4843       30.00             41.83      56.4         3.14518         0.000813
       357        1.1164        1.4899       30.00             41.83      56.4         3.13821         0.000811
       358        1.1206        1.4955       30.00             41.83      56.4         3.13124         0.000809
       359        1.1248        1.5011       30.00             41.83      56.4         3.12426         0.000807
       360        1.1290        1.5067       30.00             41.83      56.4         3.11729         0.000805
       361        1.1321        1.5122       30.00             38.32      51.4         3.11096         0.001650
       362        1.1356        1.5175       30.00             37.87      46.4         3.10466         0.002060
       363        1.1393        1.5225       30.00             37.39      41.5         3.09843         0.002056
       364        1.1430        1.5275       30.00             37.39      41.5         3.09220         0.002052
       365        1.1468        1.5325       30.00             37.39      41.5         3.08597         0.002048
       366        1.1505        1.5374       30.00             37.39      41.5         3.07974         0.002044
       367        1.1543        1.5424       30.00             37.39      41.5         3.07351         0.002039
